author_id,Author (INFO),department_id,Department (INFO)
457,Daniel R. Cayan,167,Scripps Institution of Oceanography
889,Helen Fricker,167,Scripps Institution of Oceanography
1011,N. Graham,167,Scripps Institution of Oceanography
1452,C. David Keeling,167,Scripps Institution of Oceanography
1453,Ralph Keeling,167,Scripps Institution of Oceanography
1973,B. Miller,167,Scripps Institution of Oceanography
2010,Mario Molina,167,Scripps Institution of Oceanography
2144,Joel Norris,167,Scripps Institution of Oceanography
2332,David Pierce,167,Scripps Institution of Oceanography
2344,Stephen Piper,167,Scripps Institution of Oceanography
2427,Veerabhadran Ramanathan,167,Scripps Institution of Oceanography
2511,J. Roads,167,Scripps Institution of Oceanography
2534,Dean Roemmich,167,Scripps Institution of Oceanography
2830,Richard Somerville,167,Scripps Institution of Oceanography
2948,Lynne D. Talley,167,Scripps Institution of Oceanography
3196,Ray Weiss,167,Scripps Institution of Oceanography
3214,W. White,167,Scripps Institution of Oceanography
3217,Tim Whorf,167,Scripps Institution of Oceanography
1297,Gregory Insarov,169,Institute of Geography
2824,Olga Solomina,169,Institute of Geography
3091,Andrei A. Velichko,169,Institute of Geography
3123,Evgeny M. Volodin,170,Institute of Numerical Mathematics
2130,Elena Nikitina,171,Institute of World Economy and International Relations
2289,S.A. Pegov,172,Institute for Systems Studie
2945,Toshihiko Takemura,173,Research Institute for Applied Mechanics
2948,Lynne D. Talley,174,Scripps Institution of Oceanography
3067,Roderik Van de Wal,175,Sylvester Willo Institute for Marine and Atmospheric Research
2173,Johannes Oerlemans,176,Institute for Marine and Atmospheric Research
188,Terry Barker,178,Dep. of Land Economy 4CMR
2013,Adam H. Monahan,179,School of Earth and Ocean Sciences
3182,Andrew J. Weaver,179,School of Earth and Ocean Sciences
1844,Jose Marengo,180,Centro de Ciencias do Sistema Terrestre (CCST)
2137,Carlos A. Nobre,181,Centro de Previsão de Tempo e Estudos Climáticos (CPTEC)
2207,Jean Ometto,181,Centro de Previsão de Tempo e Estudos Climáticos (CPTEC)
4,Mohamed Abdrabo,182,Institute of Graduate Studies and Research
2476,Hans Renssen,183,Faculty of Earth and Life Sciences
3092,Pier Vellinga,184,Institute for Environmental Studies
2215,Hans Opschoor,185,Insititute of Social Studies
1682,Nathalie Lefevre,187,Laboratoire d'Oceanographie Dynamique et Climatologie
345,Lino Briguglio,188,Islands and Small States Institute
1602,Paul J. Kushner,189,Department of Physics
2292,W. Richard Peltier,189,Department of Physics
1998,M. Monirul Qader Mirza,190,Institute for Environmental Studies
2394,Ronald Prinn,191,"Department of Earth,Atmospheric and Planetary Sciences"
716,Kirstin Dow,192,Geography
493,William Cheung,193,Fisheries Centre
525,G.K.C. Clarke,194,Earth and Ocean Sciences
539,Stewart J. Cohen,195,"Environmental Adaptation Research Group,"
554,Andrew Constable,197,Antarctic Marine Ecosystems Program
2873,G. Stevens,199,Nuclear Energy Agency (NEA)
1553,Charles Kolstad,200,Stanford Institute for Economic Policy Research
1803,Dena MacMynowski,201,Stanford Wood Institute for the Environment
3550,Ama Essel,203,Korle-Bu Teaching Hospital
451,Christophe Cassou,205,Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique (CERFACS)
311,Daniel H. Bouille,207,Instituto de Economia Energetica (IDEE)
2904,C.E. Suarez,207,Instituto de Economia Energetica (IDEE)
2349,Andy Pitman,208,Department of Physical Geography
1412,Patricia Kameri-Mbote,209,Strathmore Law Schoo
1482,Haroon Kheshgi,210,Research and Engineering Company
476,Li Changsheng,211,Complex Systems Research Center
1006,J Goudrian,212,Agricultural Department
2691,Carlos Scoppa,213,Centro de Investigacion de Recursos Naturales
2038,John Morton,214,Natural Resources Institute
336,Antoinette Brenkert,215,Joint Global Change Research Institute
1829,Elizabeth L. Malone,215,Joint Global Change Research Institute
2044,Richard H. Moss,215,Joint Global Change Research Institute
2347,Hugh M. Pitcher,215,Joint Global Change Research Institute
1388,Simon Josey,216,National Oceanography Centre Southampton
1499,Brian King,216,National Oceanography Centre Southampton
1852,Robert Marsh,216,National Oceanography Centre Southampton
3034,Michael Tsimplis,216,National Oceanography Centre Southampton
2152,Leonard Nurse,217,Coastal Zone Management Unit
2083,Gunnar Myhre,218,Department of Geosciences
3052,A. Underdal,219,Centre for Advanced Study
1,A. Aaheim,221,Centre for International Climate and Environmental Research-Oslo (CICERO)
2066,Luis Mundaca,222,International Institute for Industrial Environmental Economics
2212,Maggie Opondo,223,Institute for Climate Change and Adaptation
2196,Daniel Olago,224,Department of Geology
831,Adam Finkel,225,Woodrow Wilson School of Public and International Affairs
2228,Jonathan Overpeck,226,Institute for the Study of Planet Earth
2367,Alexander Polonsky,227,Marine Hydrophysical Institute
1673,Franck Lecocq,229,Laboratory of Forestry Economics
561,Esteve Corbera,230,Institute of Environmental Science and Technology
44,Mohammed Abdelrafie Ahmed,231,Faculty of Engineering & Architecture
2888,Lowell D. Stott,233,Department of Earth Sciences
684,Robert E. Dickinson,234,School of Earth and Atmospheric Sciences
3353,Tianzhu Zhang,235,Dept. of Environmental Science and Engineering
497,Amnat Chidthaisong,236,The Joint Graduate School of Energy and Environment
1655,Seymour Laxon,237,Centre for Polar Observation and Modelling
1553,Charles Kolstad,238,Dept of Economics & Bren School
1156,Gabriele C. Hegerl,241,Nicholas School for the Environment and Earth Sciences
248,Joseph A. Berry,242,Department of Global Ecology
298,Céline Bonfils,243,School of Natural Sciences
302,Kansri Boonpragob,244,Department of Biology Faculty of Science
468,Don Chambers,245,Center for Space Research
485,A. Anthony Chen,246,Department of Physics
3313,Igor Yashayaev,247,Maritimes Region of the Department of Fisheries and Oceans
1153,R. Hecky,248,Freshwater Institute
901,Yoshiyuki Fujii,250,Arctic Environment Research Center
2445,S. Rasner,251,Department Climate and Environment
1062,Kevin Gurney,252,Department of Earth and Atmospheric Science
1099,Kimio Hanawa,253,"Physical Oceanography Laboratry,Department of Geophysics, Graduate School of Science"
1114,Charles Harris,254,School of Earth Ocean and Planetary Science
1333,Peter Jansson,255,Department of Physical Geography and Quaternary Geology
1671,Caroline Leck,256,Department of Meteorology
1327,Bubu Pateh Jallow,257,Department of Water Resources
1607,Won-Tae Kwon,258,Climate Research Laboratory
1636,René Laprise,259,Departement des Sciences de la Terra et de l'Atmosphere
2219,James Orr,260,Marine Environment Laboratories
2743,J. Marshall Shepherd,261,Department of Geography
2991,Chris Thorncroft,262,Department of Earth and Atmospheric Science
3106,Ricardo Villalba,263,Departmento de Dendrocronologia e Historia Ambiental
2426,P.S. Ramakrishnan,264,School of Environmental Sciences
114,Michael J. Apps,265,Canadian Forest Service
1599,Werner A. Kurz,265,Canadian Forest Service
680,Sandra Myrna Diaz,267,Instituto Multidisciplinario de Biologia Vegetal (IMBIV)
1615,Petro Lakyda,268,National Agrarian Institute
1942,Bettina Menne,269,Regional Office for Europe
3256,Tanja Wolf,269,Regional Office for Europe
3077,Henk Van Schaik,270,Co-operative Programme on Water and Climate
284,Rizaldi Boer,271,Climatology Laboratory
2021,William Moomaw,272,The Fletcher School of Law and Diplomacy
2372,David Popp,273,The Maxwell School
2543,Vladimir Romanenkov,274,All-Russian Institute of Agrochemistry
2782,Oleg D. Sirotenko,275,All-Russian Research Institute For Agricultural Meteorology
3145,Njeri Wamukonya,276,Division of Policy Development and Law
512,Philippe Ciais,277,LMCE/DSM
439,Rodolfo Carcavallo,278,Departamento de Entomologia
3223,Tom M.L. Wigley,279,Office for Interdisciplinary Earth Studies
832,Max Finlayson,280,Environmental Research Institute of the Supervising Scientist (ERISS)
150,H. Audus,281,Greenhouse Gas R&D Programme
623,J. Davison,281,Greenhouse Gas R&D Programme
886,P. Freund,281,Greenhouse Gas R&D Programme
2798,I. Smith,282,Coal Research
850,N. Flemming,283,Deacon Labotatory
1212,E. Hofmann,284,Crittenton Hall
112,A.J. Apling,285,Department of the Environment
1150,I. Heany,286,Windermere Laboratory
