Country,AR,Cumulated WG,Author Id,Author
Australia,4,WG2,1774,Geoff Love
Australia,4,WG2,1842,Harvey J. Marchant
Australia,4,WG2,1914,Roger McLean
Australia,4,WG2,1916,Anthony J. McMichael
Australia,4,WG2,2350,A. Barrie Pittock
Australia,4,WG2,3263,Colin Woodroffe
Australia,4,WG2,3264,Rosalie Woodruff
Australia,4,WG2,3376,John Zillman
Australia,4,WG2+3,1253,Mark Howden
Australia,4,WG3,218,Roger Beale
Australia,4,WG3,534,Christopher R Cocklin
Australia,4,WG3,842,Brian S. Fisher
Australia,4,WG3,1882,Anna Matysek
Australia,4,WG3,3283,Andrew B. Wyatt
Austria,2,WG2,249,E. Bertel
Austria,2,WG2,1042,Amulf Grubler
Austria,2,WG2,1136,S. Hausberger
Austria,2,WG2,2099,Nebojsa Nakicenovic
Austria,2,WG2,2345,R. Pischinger
Austria,2,WG2,2676,W. Schopfhauser
Austria,2,WG2,3073,Jelle Van Minnen
Austria,2,WG3,2678,L. Schrattenholzer
Austria,3,WG1,1042,Amulf Grubler
Austria,3,WG1,1106,M. Hantel
Austria,3,WG1,1585,M. Kuhn
Austria,3,WG1,2658,E. Schlosser
Austria,3,WG2+3,2099,Nebojsa Nakicenovic
Austria,3,WG3,2486,Keywan Riahi
Austria,3,WG3,2532,R.A. Roehrl
Austria,3,WG3,2540,Hans-Holger Rogner
Austria,4,WG1,151,Ingeborg Auer
Austria,4,WG1+2,1436,Georg Kaser
Austria,4,WG2,2271,Anthony Patt
Austria,4,WG2,2762,Anatoly Shvidenko
Austria,4,WG2+3,2164,Brian C. O'Neill
Austria,4,WG3,80,Markus Amann
Austria,4,WG3,140,Arne Asmussen
Austria,4,WG3,1042,Amulf Grubler
Austria,4,WG3,1843,Katarina Mareckova
Austria,4,WG3,2099,Nebojsa Nakicenovic
Austria,4,WG3,2486,Keywan Riahi
Austria,4,WG3,2540,Hans-Holger Rogner
Austria,4,WG3,2653,Bernhard Schlamadinger
Austria,4,WG3,2654,Stefan P. Schleicher
Bangladesh,2,WG3,135,M. Asaduzzaman
Bangladesh,3,WG2,42,Qazi Z. Ahmad
Bangladesh,3,WG2,1277,Saleemul Huq
Bangladesh,3,WG3,2420,Atiq Rahman
Bangladesh,4,WG2,42,Qazi Z. Ahmad
Bangladesh,4,WG2,54,Mozaharul Alam
Bangladesh,4,WG2,1307,Sirajul Islam
Bangladesh,4,WG2,2420,Atiq Rahman
Barbados,2,WG2,2152,Leonard Nurse
